numpt	contig	overlap_reads	non-overlap_reads
1_cp_48	1	68	159
1_mt_1	1	96	268
1_cp_3	1	0	304995
1_cp_2	1	65	280191
1_cp_16	1	33	358
1_cp_35	1	116	127
1_mt_4	1	18	84
1_mt_5	1	65	366
1_cp_42	1	107	104
1_cp_63	1	12	10
1_cp_32	1	96	452
1_cp_53	1	65	119008
1_mt_6	1	60	4410
1_cp_69	1	38	153
1_cp_57	1	37	3394
1_mt_7	1	17	603
1_cp_24	1	89	199
1_cp_45	1	96	14458
1_cp_67	1	46	31
1_cp_71	1	46	36
1_cp_70	1	41	22
1_mt_8	1	6	575
1_cp_64	1	100	19
1_cp_51	1	107	56
1_cp_76	1	97	11
1_cp_36	1	92	137
1_cp_33	1	95	271
1_cp_22	1	82	275
1_cp_29	1	52	2392
1_cp_40	1	49	58
1_cp_54	1	15	3392
1_cp_52	1	0	5561
1_mt_18	1	66	20
1_cp_74	1	79	11
1_cp_61	1	51	35
1_cp_26	1	74	280
1_cp_73	1	48	12
1_cp_47	1	103	95
1_mt_20	1	100	585
1_cp_18	1	109	222
1_mt_24	1	91	16
1_mt_25	1	55	5
1_cp_80	1	88	9
1_cp_10	1	104	464
1_cp_31	1	77	173
1_cp_1	1	76	2400
1_mt_29	1	101	232
1_cp_28	1	8	52028
2_cp_24	2	83	73
2_mt_3	2	99	14
2_cp_50	2	95	18
2_cp_11	2	0	13279
2_cp_1	2	107	733
2_mt_6	2	78	8
2_cp_9	2	81	32
2_cp_16	2	100	116
2_mt_10	2	40	5
2_cp_7	2	76	73
2_cp_2	2	0	81669
2_mt_11	2	76	42
2_mt_12	2	43	8
2_cp_19	2	96	407
2_cp_51	2	0	1
2_mt_14	2	102	20
2_cp_4	2	85	140
2_cp_34	2	91	27
2_cp_22	2	45	14
2_cp_47	2	40	92
2_cp_45	2	66	40
2_mt_17	2	81	16
2_mt_18	2	93	17
2_cp_35	2	50	42
2_cp_42	2	50	24
2_cp_43	2	15	83
2_mt_26	2	78	18
2_cp_28	2	55	37
2_cp_57	2	60	25
2_cp_46	2	31	14
2_cp_44	2	19	9
2_cp_30	2	89	66
2_mt_33	2	115	42
2_cp_60	2	66	13
2_cp_14	2	38	1444
2_cp_67	2	94	15
2_cp_39	2	37	34
2_cp_62	2	34	70
2_mt_42	2	35	101
2_cp_5	2	97	102
2_cp_8	2	9	21558
2_cp_56	2	33	85
2_mt_48	2	0	34644
